time,location,AQI,PM2.5,PM10,SO2,NO2,O3,CO
2016/1/1 0:00,ShangHai,108,80,99,17,68,41,1.101
2016/1/1 0:00,NanJing,192,144,218,35,105,20,1.669
2016/1/1 0:00,SuZhou,127,96,109,18,89,12,1.313
2016/1/1 0:00,NanTong,142,108,135,42,64,22,1.132
2016/1/1 0:00,WuXi,170,128,173,28,88,16,1.857
2016/1/1 0:00,ChangZhou,184,138,180,46,84,10,1.663
2016/1/1 0:00,ZhenJiang,196,147,193,38,82,14,1.287
2016/1/1 0:00,HangZhou,224,173,240,28,102,14,1.607
2016/1/1 0:00,NingBo,214,163,245,20,99,18,1.609
2016/1/1 0:00,ShaoXing,291,240,361,19,79,15,1.908
2016/1/1 0:00,HuZhou,126,95,166,19,83,6,1.466
2016/1/1 0:00,JiaXing,193,145,203,39,106,6,1.878
2016/1/1 0:00,TaiZhou,179,135,198,15,37,60,1.362
2016/1/1 0:00,ZhouShan,59,41,58,4,20,67,0.671
2016/1/1 1:00,ShangHai,96,71,93,18,66,38,1.058
2016/1/1 1:00,NanJing,186,140,207,35,99,19,1.614
2016/1/1 1:00,SuZhou,122,92,98,16,85,12,1.286
2016/1/1 1:00,NanTong,119,89,116,48,69,16,1.096
2016/1/1 1:00,WuXi,150,115,152,26,76,23,1.687
2016/1/1 1:00,ChangZhou,192,144,191,49,78,12,1.742
2016/1/1 1:00,ZhenJiang,181,136,182,31,67,19,1.228
2016/1/1 1:00,HangZhou,211,160,255,26,95,12,1.656
2016/1/1 1:00,NingBo,207,156,238,18,88,18,1.572
2016/1/1 1:00,ShaoXing,256,205,295,18,72,12,1.718
2016/1/1 1:00,HuZhou,124,93,176,29,80,6,1.599
2016/1/1 1:00,JiaXing,146,111,168,25,92,14,1.349
2016/1/1 1:00,TaiZhou,181,136,201,12,41,50,1.615
2016/1/1 1:00,ZhouShan,59,41,56,4,18,67,0.756
2016/1/1 2:00,ShangHai,93,69,87,16,66,43,1.091
2016/1/1 2:00,NanJing,186,140,205,34,94,19,1.5
2016/1/1 2:00,SuZhou,119,89,93,16,82,12,1.277
2016/1/1 2:00,NanTong,130,98,121,50,72,13,1.117
2016/1/1 2:00,WuXi,137,104,139,32,78,15,1.473
2016/1/1 2:00,ChangZhou,181,136,201,55,78,10,1.903
2016/1/1 2:00,ZhenJiang,177,133,177,34,68,17,1.34
2016/1/1 2:00,HangZhou,200,150,244,21,88,13,1.639
2016/1/1 2:00,NingBo,182,137,210,17,81,16,1.403
2016/1/1 2:00,ShaoXing,202,151,227,17,66,11,1.554
2016/1/1 2:00,HuZhou,172,130,193,37,83,6,1.589
2016/1/1 2:00,JiaXing,125,94,135,21,62,37,1.198
2016/1/1 2:00,TaiZhou,185,139,201,13,52,29,1.421
2016/1/1 2:00,ZhouShan,59,41,55,6,16,69,0.747
2016/1/1 3:00,ShangHai,88,65,82,16,58,43,0.989
2016/1/1 3:00,NanJing,178,134,194,34,92,15,1.476
2016/1/1 3:00,SuZhou,122,92,100,15,79,12,1.295
2016/1/1 3:00,NanTong,126,95,119,56,64,17,1.07
2016/1/1 3:00,WuXi,133,101,131,32,78,14,1.378
2016/1/1 3:00,ChangZhou,172,130,198,56,74,12,1.815
2016/1/1 3:00,ZhenJiang,172,130,167,33,68,15,1.344
2016/1/1 3:00,HangZhou,204,153,218,19,83,11,1.59
2016/1/1 3:00,NingBo,188,141,218,16,82,8,1.388
2016/1/1 3:00,ShaoXing,202,151,216,16,59,13,1.473
2016/1/1 3:00,HuZhou,188,141,187,43,86,6,1.687
2016/1/1 3:00,JiaXing,116,87,116,19,50,46,1.114
2016/1/1 3:00,TaiZhou,195,146,207,14,55,24,1.298
2016/1/1 3:00,ZhouShan,58,40,55,6,16,66,0.772
2016/1/1 4:00,ShangHai,86,63,89,15,53,46,0.982
2016/1/1 4:00,NanJing,182,137,190,36,94,12,1.563
2016/1/1 4:00,SuZhou,126,95,100,13,84,7,1.349
